Title,Authors
SLICT: Multi-Input Multi-Scale Surfel-Based Lidar-Inertial Continuous-Time Odometry and Mapping.,"Thien-Minh Nguyen,Patric Jensfelt,Shenghai Yuan,Lihua Xie,Daniel Duberg"
Maximising Coefficiency of Human-Robot Handovers Through Reinforcement Learning.,"Arash Ajoudani,Marta Lorenzini,Cristina Becchio,Marta Lagomarsino,Elena De Momi,Merryn Dale Constable"
IAN: Instance-Augmented Net for 3D Instance Segmentation.,"Yunkuan Wang,Zihao Wan,Haojian Zhang,Jianhua Hu"
Keep Your Eye on the Best: Contrastive Regression Transformer for Skill Assessment in Robotic Surgery.,"Evangelos B. Mazomenos,Yueming Jin,Danail Stoyanov,Dimitrios Anastasiou"
Modeling the Bio-Inspired Wing-Tail Interaction Mechanism and Applying It in Flapping Wing Aircraft Pitch Control.,"Zeyan Wu,Liang Wang,Wuyao Jiang,Longfei Zhao,Zongxia Jiao"
Dynamic Control of Soft Robotic Arm: An Experimental Study.,"Yue Chen,Anthony L. Gunderman,Isuru S. Godage,Milad Azizkhani"
E-RRT*: Path Planning for Hyper-Redundant Manipulators.,"Huayong Yang,Hongcheng Ji,Cheng Wang,Haibo Xie"
SonoRotor: An Acoustic Rotational Robotic Platform for Zebrafish Embryos and Larvae.,"Naoki Yanagisawa,Leonardo K. Allegrini,Daniel Ahmed,Zhiyuan Zhang,Stephan C. F. Neuhauss,Yong Deng"
SemanticLoop: Loop Closure With 3D Semantic Graph Matching.,"Shaojie Shen,Junfeng Yu"
Automatic Alignment of Fractured Femur: Integration of Robot and Optical Tracking System.,"Emily A. Corson,Sean McMillan,Marzieh S. Saeedi-Hosseiny,Iulian Iordachita,Fayez Alruwaili,Nidhal C. Bouaynaya,Michael P. Clancy,Charalampos Papachristou,Mohammad H. Abedinnasab"
RMRL: Robot Navigation in Crowd Environments With Risk Map-Based Deep Reinforcement Learning.,"Chenpeng Yao,Haodong Yang,Qijun Chen,Chengju Liu"
CCL: Continual Contrastive Learning for LiDAR Place Recognition.,"Xieyuanli Chen,Jiafeng Cui"
Flipper-Style Locomotion Through Strong Expanding Modular Robots.,"Lillian Chin,Max Burns,Gregory Xie,Daniela Rus"
Signal Temporal Logic Neural Predictive Control.,"Chuchu Fan,Yue Meng"
Visual Simultaneous Localization and Mapping for Sewer Pipe Networks Leveraging Cylindrical Regularity.,"Lyudmila Mihaylova,Sarah Edwards,Jonathan M. Aitken,Rui Zhang,Rob Worley,Sean R. Anderson"
Mask-Based Panoptic LiDAR Segmentation for Autonomous Driving.,"Cyrill Stachniss,Louis Wiesmann,Rodrigo Marcuzzi,Lucas Nunes,Jens Behley"
Real-Time Intraoperative Surgical Guidance System in the da Vinci Surgical Robot Based on Transrectal Ultrasound/Photoacoustic Imaging With Photoacoustic Markers: An Ex Vivo Demonstration.,"Jin U. Kang,Bai-Chuan Jiang,Hyunwoo Song,Septimiu E. Salcudean,Emad M. Boctor,Anton Deguet,Keshuai Xu,Hamid Moradi,Russell H. Taylor,Yixuan Wu"
Discrete Whale Optimization Algorithm for Disassembly Line Balancing With Carbon Emission Constraint.,"MengChu Zhou,Xinshuo Cui,Xiwang Guo,Liang Qi,Shujin Qin,Jiacun Wang"
Time-Varying Constraint-Driven Optimal Task Execution for Multiple Autonomous Underwater Vehicles.,"Shanying Zhu,Lei Song,Bochen Li,Xinping Guan,Chenggang Wang"
i-GSI: A Novel Grasp Switching Interface Based on Eye-Tracking and Augmented Reality for Multi-Grasp Prosthetic Hands.,"Siyang Qiu,Dapeng Yang,Jingdong Zhao,Chunyuan Shi"
